SortNo,ShipId,ShipName,FileName,FileVersion,TypeName,TypeId,boko_n_left,boko_n_top,boko_d_left,boko_d_top,map_n_left,map_n_top,map_d_left,map_d_top,battle_n_left,battle_n_top,battle_d_left,battle_d_top,ensyuf_n_left,ensyuf_n_top,ensyuf_d_left,ensyuf_d_top,ensyue_n_left,ensyue_n_top,kaizo_n_left,kaizo_n_top,kaizo_d_left,kaizo_d_top,kaisyu_n_left,kaisyu_n_top,kaisyu_d_left,kaisyu_d_top,weda_left,weda_top,wedb_left,wedb_top,
序号,ID,名称,文件名,文件版本,类型,类型ID,boko_n_left,boko_n_top,boko_d_left,boko_d_top,map_n_left,map_n_top,map_d_left,map_d_top,battle_n_left,battle_n_top,battle_d_left,battle_d_top,ensyuf_n_left,ensyuf_n_top,ensyuf_d_left,ensyuf_d_top,ensyue_n_left,ensyue_n_top,kaizo_n_left,kaizo_n_top,kaizo_d_left,kaizo_d_top,kaisyu_n_left,kaisyu_n_top,kaisyu_d_left,kaisyu_d_top,weda_left,weda_top,wedb_left,wedb_top,
0,501,##,mtjmdcwtvhdr,2,##,2,0,0,0,0,0,0,0,0,82,151,82,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐イ級
0,502,##,pbgkfylkbjuy,2,##,2,0,0,0,0,0,0,0,0,100,139,100,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐ロ級
0,503,##,pcumlrymlujh,2,##,2,0,0,0,0,0,0,0,0,254,81,254,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐ハ級
0,504,##,itbrdpdbkynm,2,##,2,0,0,0,0,0,0,0,0,239,19,239,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐ニ級
0,505,##,itslcqtmrxtf,2,##,3,0,0,0,0,0,0,0,0,125,1,125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽巡ホ級
0,506,##,wuhnhojjxmke,2,##,3,0,0,0,0,0,0,0,0,93,11,93,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽巡ヘ級
0,507,##,xlqcmisdyfiu,2,##,3,0,0,0,0,0,0,0,0,72,12,72,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽巡ト級
0,508,##,mcouotbbbzpx,2,##,4,0,0,0,0,0,0,0,0,79,115,79,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,雷巡チ級
0,509,##,iwztvmesrrju,2,##,5,0,0,0,0,0,0,0,0,73,95,73,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,重巡リ級
0,510,##,slxvncxmexin,2,##,7,0,0,0,0,0,0,0,0,101,21,101,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽母ヌ級
0,511,##,pijdvoaebmxm,2,##,9,0,0,0,0,0,0,0,0,61,99,61,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,戦艦ル級
0,512,##,yalxvbxgbojg,2,##,11,0,0,0,0,0,0,0,0,175,47,175,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,空母ヲ級
0,513,##,mednanfcfkil,2,##,15,0,0,0,0,0,0,0,0,111,52,111,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,輸送ワ級
0,514,##,eusutfvohllh,3,##,2,0,0,0,0,0,0,0,0,-33,67,-33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐イ級
0,515,##,tizkiyetefqx,2,##,2,0,0,0,0,0,0,0,0,45,-67,45,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐ロ級
0,516,##,ycjcuuqbxywj,2,##,2,0,0,0,0,0,0,0,0,193,-41,193,-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐ハ級
0,517,##,zujcpyhiwhfk,2,##,2,0,0,0,0,0,0,0,0,185,-69,185,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,駆逐ニ級
0,518,##,nylazbctwxxb,2,##,3,0,0,0,0,0,0,0,0,68,-108,68,-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽巡ホ級
0,519,##,thxxajqkbcea,2,##,3,0,0,0,0,0,0,0,0,-86,-11,-86,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽巡ヘ級
0,520,##,vxeposgfnulm,2,##,3,0,0,0,0,0,0,0,0,10,-75,10,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽巡ト級
0,521,##,kkdcshdnoqvd,2,##,4,0,0,0,0,0,0,0,0,39,-9,39,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,雷巡チ級
0,522,##,jgdkktwkyoep,2,##,5,0,0,0,0,0,0,0,0,6,25,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,重巡リ級
0,523,##,glsvfugrtdlv,2,##,7,0,0,0,0,0,0,0,0,54,-20,54,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,軽母ヌ級
0,524,##,jnaynrbswxny,2,##,9,0,0,0,0,0,0,0,0,-20,19,-20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,戦艦ル級
0,525,##,lreivfnxjfik,2,##,11,0,0,0,0,0,0,0,0,120,-19,120,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,空母ヲ級
0,526,##,nfbfnyqdswvz,2,##,15,0,0,0,0,0,0,0,0,17,22,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,輸送ワ級
0,527,##,cdgslqaonpst,2,##,5,0,0,0,0,0,0,0,0,9,-37,9,-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,重巡リ級
0,528,##,kcjagtsviiyn,2,##,11,0,0,0,0,0,0,0,0,72,-85,72,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,空母ヲ級
0,529,##,crlyrpscrtad,2,##,9,0,0,0,0,0,0,0,0,-45,-10,-45,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,戦艦ル級
0,530,##,zsrtdiesnmum,2,##,13,0,0,0,0,0,0,0,0,11,140,11,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,潜水カ級
0,531,##,jyofolfguclj,2,##,13,0,0,0,0,0,0,0,0,120,17,120,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,潜水ヨ級
0,532,##,ebutrlbzkktc,2,##,13,0,0,0,0,0,0,0,0,-1,81,-1,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,潜水カ級
0,533,##,ppdicscudnmo,2,##,13,0,0,0,0,0,0,0,0,88,-65,88,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,潜水ヨ級
0,534,##,duwuexijckgq,2,##,13,0,0,0,0,0,0,0,0,-3,89,-3,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,潜水カ級
0,535,##,nvaipajbkgjn,2,##,13,0,0,0,0,0,0,0,0,87,-66,87,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,潜水ヨ級
0,536,##,cchowgdxysfu,2,##,10,0,0,0,0,0,0,0,0,68,40,68,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,浮遊要塞
0,537,##,matbibgdovof,2,##,10,0,0,0,0,0,0,0,0,13,-23,13,-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,浮遊要塞
0,538,##,murfwykjiuog,2,##,10,0,0,0,0,0,0,0,0,89,44,89,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,浮遊要塞
0,539,##,cyfiwlhsgdji,2,##,10,0,0,0,0,0,0,0,0,7,44,7,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,泊地棲鬼
0,540,##,vewvgeiqybub,2,##,10,0,0,0,0,0,0,0,0,-81,-10,-81,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,泊地棲姫
0,541,##,mqzxufdjdjju,1,##,8,0,0,0,0,0,0,0,0,-45,115,-45,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,戦艦タ級
0,542,##,whhduavjmdki,1,##,8,0,0,0,0,0,0,0,0,-45,103,-45,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,戦艦タ級
0,543,##,zpzqybyepyte,1,##,8,0,0,0,0,0,0,0,0,-45,103,-45,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,戦艦タ級
